timestamp,emg_value
0.0,358
0.001,352
0.002,372
0.003,364
0.004,354
0.005,343
0.006,336
0.007,337
0.008,325
0.009,315
0.01,330
0.011,334
0.012,371
0.013,369
0.014,369
0.015,370
0.016,369
0.017,360
0.018,368
0.019,362
0.02,377
0.021,386
0.022,384
0.023,387
0.024,384
0.025,370
0.026,368
0.027,375
0.028,368
0.029,364
0.03,359
0.031,353
0.032,350
0.033,336
0.034,346
0.035,377
0.036,371
0.037,382
0.038,384
0.039,389
0.04,387
0.041,377
0.042,400
0.043,393
0.044,429
0.045,450
0.046,468
0.047,481
0.048,488
0.049,474
0.05,463
0.051,454
0.052,442
0.053,429
0.054,416
0.055,406
0.056,400
0.057,397
0.058,384
0.059,380
0.06,384
0.061,378
0.062,371
0.063,370
0.064,372
0.065,372
0.066,372
0.067,370
0.068,365
0.069,383
0.07,379
0.071,377
0.072,385
0.073,375
0.074,374
0.075,369
0.076,367
0.077,371
0.078,369
0.079,373
0.08,377
0.081,371
0.082,368
0.083,390
0.084,385
0.085,376
0.086,366
0.087,358
0.088,361
0.089,357
0.09,342
0.091,346
0.092,340
0.093,333
0.094,323
0.095,312
0.096,313
0.097,309
0.098,298
0.099,290
0.1,279
0.101,283
0.102,273
0.103,265
0.104,263
0.105,265
0.106,256
0.107,253
0.108,261
0.109,252
0.11,244
0.111,236
0.112,238
0.113,240
0.114,234
0.115,232
0.116,224
0.117,223
0.118,226
0.119,222
0.12,219
0.121,223
0.122,217
0.123,212
0.124,221
0.125,224
0.126,218
0.127,211
0.128,213
0.129,218
0.13,214
0.131,218
0.132,265
0.133,263
0.134,261
0.135,259
0.136,258
0.137,263
0.138,269
0.139,265
0.14,308
0.141,336
0.142,342
0.143,345
0.144,345
0.145,350
0.146,349
0.147,347
0.148,347
0.149,340
0.15,331
0.151,324
0.152,320
0.153,319
0.154,307
0.155,295
0.156,298
0.157,297
0.158,299
0.159,293
0.16,286
0.161,288
0.162,292
0.163,281
0.164,310
0.165,316
0.166,314
0.167,311
0.168,308
0.169,304
0.17,308
0.171,301
0.172,312
0.173,324
0.174,344
0.175,349
0.176,347
0.177,342
0.178,349
0.179,340
0.18,337
0.181,369
0.182,366
0.183,363
0.184,356
0.185,353
0.186,355
0.187,345
0.188,333
0.189,333
0.19,322
0.191,311
0.192,303
0.193,296
0.194,291
0.195,280
0.196,276
0.197,304
0.198,310
0.199,310
0.2,307
0.201,309
0.202,310
0.203,307
0.204,314
0.205,318
0.206,320
0.207,322
0.208,324
0.209,341
0.21,349
0.211,353
0.212,341
0.213,332
0.214,358
0.215,354
0.216,351
0.217,347
0.218,351
0.219,347
0.22,335
0.221,327
0.222,314
0.223,319
0.224,312
0.225,305
0.226,305
0.227,304
0.228,292
0.229,285
0.23,281
0.231,315
0.232,311
0.233,304
0.234,304
0.235,307
0.236,297
0.237,293
0.238,302
0.239,295
0.24,295
0.241,293
0.242,294
0.243,295
0.244,285
0.245,276
0.246,305
0.247,308
0.248,308
0.249,299
0.25,303
0.251,308
0.252,303
0.253,295
0.254,287
0.255,294
0.256,290
0.257,291
0.258,289
0.259,293
0.26,289
0.261,278
0.262,309
0.263,353
0.264,375
0.265,381
0.266,388
0.267,401
0.268,402
0.269,393
0.27,384
0.271,395
0.272,386
0.273,378
0.274,368
0.275,368
0.276,358
0.277,343
0.278,363
0.279,375
0.28,395
0.281,394
0.282,400
0.283,402
0.284,403
0.285,390
0.286,421
0.287,424
0.288,454
0.289,459
0.29,454
0.291,452
0.292,453
0.293,435
0.294,441
0.295,456
0.296,458
0.297,454
0.298,464
0.299,464
0.3,464
0.301,448
0.302,437
0.303,453
0.304,462
0.305,455
0.306,452
0.307,447
0.308,451
0.309,436
0.31,427
0.311,422
0.312,418
0.313,410
0.314,426
0.315,426
0.316,430
0.317,421
0.318,418
0.319,411
0.32,403
0.321,402
0.322,400
0.323,398
0.324,393
0.325,388
0.326,376
0.327,378
0.328,364
0.329,351
0.33,342
0.331,340
0.332,342
0.333,340
0.334,328
0.335,325
0.336,315
0.337,303
0.338,295
0.339,286
0.34,275
0.341,275
0.342,264
0.343,267
0.344,271
0.345,263
0.346,263
0.347,262
0.348,263
0.349,265
0.35,256
0.351,273
0.352,275
0.353,279
0.354,316
0.355,312
0.356,326
0.357,340
0.358,337
0.359,335
0.36,359
0.361,357
0.362,354
0.363,349
0.364,345
0.365,343
0.366,332
0.367,326
0.368,379
0.369,375
0.37,370
0.371,360
0.372,352
0.373,354
0.374,345
0.375,348
0.376,379
0.377,374
0.378,370
0.379,369
0.38,362
0.381,364
0.382,364
0.383,361
0.384,375
0.385,388
0.386,388
0.387,389
0.388,381
0.389,381
0.39,377
0.391,363
0.392,363
0.393,371
0.394,364
0.395,355
0.396,354
0.397,356
0.398,352
0.399,344
0.4,359
0.401,379
0.402,371
0.403,367
0.404,361
0.405,362
0.406,359
0.407,364
0.408,377
0.409,392
0.41,402
0.411,402
0.412,398
0.413,396
0.414,399
0.415,386
0.416,385
0.417,414
0.418,408
0.419,401
0.42,391
0.421,386
0.422,386
0.423,378
0.424,388
0.425,419
0.426,416
0.427,416
0.428,413
0.429,411
0.43,416
0.431,406
0.432,416
0.433,437
0.434,474
0.435,530
0.436,530
0.437,535
0.438,540
0.439,532
0.44,521
0.441,516
0.442,547
0.443,574
0.444,574
0.445,562
0.446,568
0.447,566
0.448,547
0.449,558
0.45,579
0.451,576
0.452,569
0.453,563
0.454,555
0.455,545
0.456,524
0.457,530
0.458,530
0.459,518
0.46,509
0.461,515
0.462,512
0.463,512
0.464,499
0.465,504
0.466,490
0.467,476
0.468,464
0.469,453
0.47,443
0.471,437
0.472,419
0.473,427
0.474,466
0.475,461
0.476,455
0.477,442
0.478,438
0.479,432
0.48,415
0.481,401
0.482,390
0.483,375
0.484,360
0.485,346
0.486,334
0.487,335
0.488,324
0.489,325
0.49,348
0.491,348
0.492,347
0.493,346
0.494,343
0.495,343
0.496,335
0.497,323
0.498,336
0.499,326
0.5,328
0.501,318
0.502,316
0.503,317
0.504,315
0.505,334
0.506,339
0.507,331
0.508,325
0.509,315
0.51,308
0.511,311
0.512,310
0.513,297
0.514,296
0.515,296
0.516,289
0.517,285
0.518,277
0.519,276
0.52,275
0.521,271
0.522,268
0.523,273
0.524,277
0.525,324
0.526,327
0.527,340
0.528,354
0.529,352
0.53,390
0.531,384
0.532,380
0.533,389
0.534,382
0.535,385
0.536,388
0.537,383
0.538,371
0.539,357
0.54,344
0.541,331
0.542,327
0.543,323
0.544,325
0.545,316
0.546,318
0.547,327
0.548,314
0.549,332
0.55,331
0.551,334
0.552,338
0.553,329
0.554,328
0.555,315
0.556,303
0.557,293
0.558,283
0.559,273
0.56,274
0.561,267
0.562,260
0.563,288
0.564,288
0.565,285
0.566,281
0.567,277
0.568,280
0.569,276
0.57,266
0.571,273
0.572,277
0.573,267
0.574,260
0.575,259
0.576,257
0.577,258
0.578,251
0.579,259
0.58,311
0.581,314
0.582,310
0.583,304
0.584,307
